"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","text-tag_textTag__mQeO_","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E 3"
"https://www.yad2.co.il/realestate/item/c4j1rrwd?opened-from=feed&component-type=main_feed&spot=standard&location=45&pagination=7","https://img.yad2.co.il/Pic/202405/30/2_5/o/y2_1pa_010051_20240530073218.jpeg?w=3840&h=3840&c=9","בלעדי","רוטשילד נכסים","רוטשילד נכסים","3,650,000 ₪","מרכז בעלי מלאכה 22","דירה, תל אביב יפו","3 חדרים • קומה ‎1‏ • 60 מ״ר","גמיש במחיר","בהזדמנות","המודעה נשמרה",""
"","","מבצע","תמהיל דירות מגוון","","","","","","","","המודעה נשמרה",""
"","","פרויקט חדש","כל מה שאתם אוהבים בתל אביב","","","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/item/2_98_10213?site=_inres_x1_l_15303_o_ws_ListingPro_15315","https://pics.yad2.co.il/Pics/2024/07/20240707150424791-s.jpg","מבצע","","החל מ-","2,950,000 ₪","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/item/2_98_5433?site=_inres_x1_l_15304_o_ws_ListingPro_12624","https://pics.yad2.co.il/Pics/2024/06/20240626142431648-s.jpg","מבצע","","","","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/item/2_98_9847?site=_inres_x1_l_15305_o_ws_ListingPro_22996","https://pics.yad2.co.il/Pics/2024/05/20240516094949745-s.jpg","פרויקט חדש","","","","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/item/2_98_10501?site=_inres_x1_l_15306_o_ws_ListingPro_12603","https://pics.yad2.co.il/Pics/2024/08/20240811164909330-s.jpg","פרויקט חדש","","","","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/item/2_98_7377?site=_inres_x1_l_16307_o_ws_ListingBasic_11187","https://pics.yad2.co.il/Pics/2024/05/20240523095106695-s.jpg","פרויקט חדש","","","","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/item/2_98_10582?site=_inres_x1_l_16308_o_ws_ListingBasic_21240","https://pics.yad2.co.il/Pics/2023/11/20231107180114376-s.jpg","פרויקט חדש","","החל מ-","6,500,000 ₪","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/item/2_98_9093?site=_inres_x1_l_16309_o_ws_ListingBasic_21332","https://pics.yad2.co.il/Pics/2023/12/20231203112025154-s.jpg","פרויקט חדש","","החל מ-","6,150,000 ₪","","","","","","המודעה נשמרה",""
"https://www.yad2.co.il/item/2_98_9788?site=_inres_x1_l_16310_o_ws_ListingBasic_15773","https://pics.yad2.co.il/Pics/2024/04/20240403132222268-s.jpg","מבצע","","החל מ-","4,426,800 ₪","","","","","","המודעה נשמרה",""
