"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3","text-tag_textTag__mQeO_"
"https://www.yad2.co.il/realestate/item/eaz2jgwm?opened-from=feed&component-type=main_feed&spot=standard&location=41","https://img.yad2.co.il/Pic/202410/10/2_5/o/y2_1pa_010636_20241010163542.jpeg?w=3840&h=3840&c=9","קבוצת עמית טל","קבוצת עמית טל","4,499,000 ₪","מיכה","דירה, הצפון הישן - צפון, תל אביב יפו","3 חדרים • קומה ‎4‏ • 100 מ״ר","המודעה נשמרה","בניין משופץ","גמיש במחיר","בהזדמנות",""
"https://www.yad2.co.il/realestate/item/1yoixc5l?opened-from=feed&component-type=main_feed&spot=standard&location=42","https://img.yad2.co.il/Pic/202411/05/2_5/o/y2_1pa_010406_20241105134640.jpeg?w=3840&h=3840&c=9","לי ירמיהו - נכס תל אביבי","לי ירמיהו - נכס תל אביבי","8,900,000 ₪","הדסה","דירה, תל אביב יפו","3 חדרים • קומה ‎6‏ • 163 מ״ר","המודעה נשמרה","חניה","קרוב לים","בהזדמנות","בלעדי"
"https://www.yad2.co.il/realestate/item/zx133kx4?opened-from=feed&component-type=main_feed&spot=standard&location=43","https://img.yad2.co.il/Pic/202404/09/2_5/o/y2_1pa_010641_20240409173114.jpeg?w=3840&h=3840&c=9","קנובלר נכסים","קנובלר נכסים","6,300,000 ₪","בילטמור 5","דירה, תל אביב יפו","3 חדרים • קומה ‎5‏ • 102 מ״ר","המודעה נשמרה","ממ""ד","חניה","נכס חדש","בלעדי"
"https://www.yad2.co.il/realestate/item/ipia7wmu?opened-from=feed&component-type=main_feed&spot=standard&location=44","https://img.yad2.co.il/Pic/202407/11/2_5/o/y2_10_XB7lpXk47m_20240711.jpeg?w=3840&h=3840&c=9","מתן חן","מתן חן","3,650,000 ₪","דירה","דירה, תל אביב יפו","3 חדרים • קומה ‎20‏ • 81 מ״ר","המודעה נשמרה","ממ""ד","חניה","נכס חדש",""
"https://www.yad2.co.il/realestate/item/origrt2g?opened-from=feed&component-type=main_feed&spot=standard&location=45","https://img.yad2.co.il/Pic/202305/05/2_5/o/y2_1_STSZxo1YDU_20230505.jpeg?w=3840&h=3840&c=9","עזרא-נכסים","עזרא-נכסים","3,970,000 ₪","נחום סוקולוב","דירה, הצפון הישן - צפון, תל אביב יפו","3 חדרים • קומה ‎3‏ • 79 מ״ר","המודעה נשמרה","ייחודי","חבל לפספס","בהזדמנות","ירד ב-230,000 ₪"
"","","PRESALE","","","","","","המודעה נשמרה","","","","פרויקט חדש"
"","","תמהיל דירות מגוון","","","","","","המודעה נשמרה","","","","מבצע"
"https://www.yad2.co.il/item/2_98_9847?site=_inres_x1_l_15303_o_ws_ListingPro_22996","https://pics.yad2.co.il/Pics/2024/05/20240516094949745-s.jpg","","","","","","","המודעה נשמרה","","","","פרויקט חדש"
"https://www.yad2.co.il/item/2_98_10213?site=_inres_x1_l_15304_o_ws_ListingPro_15315","https://pics.yad2.co.il/Pics/2024/07/20240707150424791-s.jpg","","החל מ-","2,950,000 ₪","","","","המודעה נשמרה","","","","מבצע"
"https://www.yad2.co.il/item/2_98_9666?site=_inres_x1_l_15305_o_ws_ListingPro_23882","https://pics.yad2.co.il/Pics/2024/04/20240407104410105-s.jpg","","החל מ-","5,500,000 ₪","","","","המודעה נשמרה","","","","פרויקט חדש"
"https://www.yad2.co.il/item/2_98_10501?site=_inres_x1_l_15306_o_ws_ListingPro_12603","https://pics.yad2.co.il/Pics/2024/08/20240811164909330-s.jpg","","","","","","","המודעה נשמרה","","","","פרויקט חדש"
"https://www.yad2.co.il/item/2_98_6104?site=_inres_x1_l_16307_o_ws_ListingBasic_21285","https://pics.yad2.co.il/Pics/2021/07/20210707113900584-s.jpg","","החל מ-","4,800,000 ₪","","","","המודעה נשמרה","","","","פרויקט חדש"
"https://www.yad2.co.il/item/2_98_6129?site=_inres_x1_l_16308_o_ws_ListingBasic_18996","https://pics.yad2.co.il/Pics/2022/06/2022061215485841-s.jpg","","","","","","","המודעה נשמרה","","","","מבצע"
"https://www.yad2.co.il/item/2_98_9093?site=_inres_x1_l_16309_o_ws_ListingBasic_21332","https://pics.yad2.co.il/Pics/2023/12/20231203112025154-s.jpg","","החל מ-","6,150,000 ₪","","","","המודעה נשמרה","","","","פרויקט חדש"
"https://www.yad2.co.il/item/2_98_8873?site=_inres_x1_l_16310_o_ws_ListingBasic_20175","https://pics.yad2.co.il/Pics/2023/09/20230907112751191-s.jpg","","החל מ-","3,570,000 ₪","","","","המודעה נשמרה","","","","מבצע"
